油海卧虎藏龙,蓝颜偏擦腮红,一年几次韩国,就为瞎乱整容
就为胡乱整容,还怕大家雷同,聚会撞衫撞脸,定会尴尬不行
三千愁丝随风扬,一缕一丝一愁肠,三千断尽只为郎,红尘乱世为谁伤
曾经放学告你妈,你妈生气找我家,我家妈妈很生气,气的打我俩耳瓜
到底是要找谁妈,整懵我们小哪吒,五颜六色油里滚,难分雌雄出奇葩。。。
观三国，看水浒,英雄盖世气如虎,品红楼，话西游,问君何物是主流
精神病院床靠窗,躺在床上绳索绑,饿你三天零一宿,看你到底怎么装
赶快松绑饿得慌,乳猪烤鸡全吃光,吃饱盯着阿里看,就想把她脱光光
钓友咬牙恨,心态不够稳,鱼获不重要,垂钓养心神
山外青山楼外楼,油海飘香岂会休,难得有酒回锅肉,何必新词强说愁
一会不见楼又涨,感谢亲们的捧场,听说随风要请客,这个锣鼓得敲响
月也朦胧鸟朦胧,笑姐携手随风行,快快乐乐练打油,遇到华年躲草丛,
不务正业害微笑,菜炒糊了全倒掉,老公感慨由衷发,败家娘们不能要
夫妻恩爱感情深，,三年痒止南北奔。,莫话人心易水寒，,且道人性早沉沦。
百忙之中我偷闲,打开贴吧转一转,看看有没有更新,胡诌我再续一篇
水平提高真难,只因经历平凡,改日戒掉钓羸,油楼卧薪尝胆
回首只剩哽咽,酒肉穿肠不戒,对酒当歌赏月,人生知足喜悦
此花一开百花哀,金秋送爽时不待,总想把那秋留住,轻轻摘下瓶中塞
宝强其实也不笨,关键走了狗屎运,能力再加上机遇,定能成功不必问
诉说人生多无聊,长道漫漫路迢迢,几回哭来几回笑,谁被青春撞了腰
着调还分真与假,二百五六也敢耍,小卒过河顶匹马,敌阵溃败被打垮
小桥流水人家,为谁落泪小花,相思苦楚惹怜,入土为灰白瞎
人情淡如纸,不关咱屁事,只要兄弟好,咱就一辈子
