捷足先登入座,赶脚颇有收获,沙发还是真皮,质量也还不错,再看老胡,鞋子真破
就为胡乱整容,还怕大家雷同,聚会撞衫撞脸,定会尴尬不行
似曾相识忘叫啥？,想不起来把头打,小卒旁边给提醒,咱俩同学叫小花
嘴里喊着再不敢,自罚喝酒几大碗,大过门槛,磕完鼻子又跄脸
群起围攻口诛笔伐,被撕嘴肿难进饭茶,刻骨铭心吸取教训,再也不敢胡写乱爬
刻骨铭心吸取教训,心存善意恶语伤人,说说笑笑不必认真,真心友爱一片温馨
虽说不是啥仙姑,不能想出是一出,玩贴吧的没大款,吹牛拍马瞎扎呼
猪马人类好朋友,就是模样有点丑,如果小卒不相信,我俩爆照大家瞅
小卒准奏,吧友来凑,越侃越有,开心打油。。。
一鹤夸我夸得虚,小卒无才说第一,有朝一日来踢馆,冷汗直流腿发软
刚刚冲个热水澡,浑身提神又醒脑,邻家小孩谁在吵,三个瓜来俩个枣
男女老少全都有,时常相聚喝小酒,哪家饭馆新开张,特色菜品尝几口
越紧抬腿溜,钓手和老炮,穿着驴友车护服,红灯讨钞票,我又看到了,按着喇叭叫,如今善人傻人多,络绎中全套
无救了,荒秋了,额滴神啊,没追求了。。。,(凑韵！凑韵！捂嘴笑！你懂得！你懂得！)
老头摇身变帅男,钓手整容成壮年,灵丹妙药何处选,阿里神技最养颜
水平提高真难,只因经历平凡,改日戒掉钓羸,油楼卧薪尝胆
旁观者清当局迷,跟头摔了啃地皮,一失足成千古恨,后悔药物没处取
自欺欺人遭议论,绿帽戴的还挺沉,农民家的苦孩子,找个校花不对称。。。
随风疯话放送,跑来妖颜祸众,我进百度三年,油诗首次卖弄。。。
随风不看颜值,妖颜只有诚实,冲你才来打油,爱你没有羞耻
冲我才来打油,弄个丝袜套头,就算遮的再严,有个疙瘩是喉
只见走石飞沙,阿志被风刮趴,鸟也全都飞跑,哎呀我的妈呀
爱姐每天顶呱呱,神采飞扬把话拉,腹中才学如书库,笔端墨香飘天涯
美酒佳肴说年华,小卒纤手把笔拿,油诗打的好熟悉,似曾相识忘叫啥？
咱俩同学叫小花,借你橡皮错字擦,用后好久不还我,曾经放学告你妈
手拿菜刀把鸡杀,小卒备好刀和叉,一道烧鸡快呈上,手起刀落便成渣
磕完鼻子又跄脸,眼也红了舌头短,喝的多了撒酒疯,神经兴奋话不完
喝的多了撒酒疯,阿里难回睡梦中,哪个敢提脱光光,酝酿油词己想通
春天已去秋天来临,一年大半留下脚印,油吧仨月感情至深,打油相遇有缘之人
猪马人类好朋友,就是模样有点丑,如果小卒不相信,我俩爆照大家瞅
有朝一日来踢馆,小卒早已升大官,不怕有人来捣乱,就怕耗子窝里反
阿里阿里替你上,我的水平不咋样,自身我还很难保,小卒你要眼擦亮
油海飘香满长巷,快快乐乐油海荡,相遇咱就是有缘,开心打油心欢畅
春去秋来一转眼,炎炎夏日已过梁,九月九日话重阳,天冷诸位莫着凉
天天多快乐,不管对和错,塞翁失了马,谁知是福祸
天冷了,添衣了,游子在外,问候了
自是笨鸟人,不思前进路,但愿当懒虫,哎呦额滴神,……吾无救矣～
莫话人心易水寒,初时也有意绵绵,财米油盐酱醋茶,折腾几年都会烦
秋天照样也需要,谢谢赠我大绿帽, 瓜瓤刮刮有点甜,生炒凉拌美食到
遥看山水秀,菱角骨儿瘦,多嘴会挨揍,电影怕剧透
